model,experiment,uncertainty,rouge,ifhr,wle,temperature,task,model_type
qwen25,en_en_th,6.909421953041701,0.06374940800963563,0.46356275303643724,0.28921978957760863,1.0,WTI - CQA,Base
qwen25,en_th_en,7.458966133985425,0.059289096386369776,0.7995951417004049,0.21653483967811277,1.0,WTI - CQA,Base
qwen25,en_th_th,5.597091451607152,0.17444205810267205,0.17705802968960865,0.29355176897438806,1.0,WTI - CQA,Base
qwen25,th_en_en,5.942258531549393,0.24863465695684211,0.38299595141700404,0.4496241542235748,1.0,WTI - CQA,Base
qwen25,th_en_th,6.287969759514035,0.11922586171473686,0.2935222672064777,0.5756890620937263,1.0,WTI - CQA,Base
qwen25,th_th_en,7.631542094216194,0.05922581355163293,0.9032388663967611,0.4097296590243776,1.0,WTI - CQA,Base
qwen25,th_th_th,5.026416110265722,0.2790728463314035,0.08380566801619434,0.38769220754738254,1.0,WTI - CQA,Base
otg,en_en_en,3.2037859024519455,0.29121852728916126,0.01417004048582996,0.1344791362418561,1.0,WTI - CQA,CPT
otg,en_en_th,4.488979250471545,0.1972729815851581,0.28481031638926374,0.9241914250819044,1.0,WTI - CQA,CPT
otg,en_th_en,5.755270492727379,0.21126128150257809,0.660233918128655,0.7801382617466963,1.0,WTI - CQA,CPT
otg,en_th_th,3.657288802890676,0.3341325737889387,0.13949617633828162,0.7317673904399127,1.0,WTI - CQA,CPT
otg,th_en_en,3.19261695134428,0.3304242185222821,0.1271255060728745,0.5168646134572615,1.0,WTI - CQA,CPT
otg,th_en_th,4.448368972230498,0.22420559853651606,0.2543859649122807,0.8789646067911004,1.0,WTI - CQA,CPT
otg,th_th_en,4.799807224677825,0.2637447721578069,0.5279952016794123,0.7507218719029701,1.0,WTI - CQA,CPT
otg,th_th_th,3.4501228213397694,0.3611810316337021,0.12331683910631279,0.6522020241550657,1.0,WTI - CQA,CPT
sailor,en_en_en,3.7862919062405744,0.30210478810128655,0.0005398110661268556,0.08161015472543787,1.0,WTI - CQA,CPT
sailor,en_en_th,3.7670962019884033,0.0398992896780048,0.9172739541160594,0.08518364560199718,1.0,WTI - CQA,CPT
sailor,en_th_en,5.531150259645373,0.1951018288251267,0.2902834008097166,0.11086280958081256,1.0,WTI - CQA,CPT
sailor,en_th_th,5.013080045239326,0.19594246123970888,0.12361673414304993,0.09152676303976563,1.0,WTI - CQA,CPT
sailor,th_en_en,3.8550810489316762,0.3023410431518986,0.016059379217273954,0.09033020863403825,1.0,WTI - CQA,CPT
sailor,th_en_th,5.205921996034803,0.11855161682467245,0.4191632928475034,0.08107568690423984,1.0,WTI - CQA,CPT
sailor,th_th_en,4.21934208641282,0.26423655095023996,0.04798320587794272,0.08797064928653892,1.0,WTI - CQA,CPT
sailor,th_th_th,4.970136199132392,0.202974158372481,0.057759784075573556,0.07761713492162357,1.0,WTI - CQA,CPT
typhoon15,en_en_en,2.2290514379293094,0.25260477096161205,0.0009446693657219974,0.07073432203534817,1.0,WTI - CQA,CPT
typhoon15,en_en_th,2.350371857965797,0.03535908088357472,0.920047983205878,0.06939366353637208,1.0,WTI - CQA,CPT
typhoon15,en_th_en,4.0615220536652235,0.03306265131896674,0.9084370677731674,0.03561754870517172,1.0,WTI - CQA,CPT
typhoon15,en_th_th,1.9306383763299215,0.3535117657400388,0.006500691562932227,0.03652459873299338,1.0,WTI - CQA,CPT
typhoon15,th_en_en,2.268425530671672,0.3030043880688717,0.001349527665317139,0.0744383181875235,1.0,WTI - CQA,CPT
typhoon15,th_en_th,3.1311595020852385,0.16880682176584597,0.4143049932523617,0.07588796699277428,1.0,WTI - CQA,CPT
typhoon15,th_th_en,4.193741956449605,0.1499088136019238,0.594098662978331,0.05998157902233005,1.0,WTI - CQA,CPT
typhoon15,th_th_th,1.9827654181138212,0.4068663558087098,0.0008298755186721993,0.0366291684597331,1.0,WTI - CQA,CPT
gemma2,en_en_en,2.2958239494463837,0.32204129016275695,0.0002699055330634278,0.08445258804274736,1.0,WTI - CQA,MLLM
gemma2,en_en_th,3.3807059123877266,0.22641397191294718,0.1854251012145749,0.2788961242553689,1.0,WTI - CQA,MLLM
gemma2,en_th_en,4.4634059310737815,0.1904371148020232,0.5189488243430151,0.15216554293621648,1.0,WTI - CQA,MLLM
gemma2,en_th_th,2.1080838642497413,0.38939424385942295,0.007468879668049793,0.08429425146375562,1.0,WTI - CQA,MLLM
gemma2,th_en_en,2.2411440061295167,0.34423551300054284,0.0012328973086753873,0.08954745278260487,1.0,WTI - CQA,MLLM
gemma2,th_en_th,3.2694664792699237,0.1820404331255714,0.35288040503557744,0.1961204075896673,1.0,WTI - CQA,MLLM
gemma2,th_th_en,3.087781132325876,0.2886275430546097,0.28379683052542504,0.14498870836329003,1.0,WTI - CQA,MLLM
gemma2,th_th_th,1.9733398265660242,0.37163890736208366,0.029638227513227512,0.08796133150469451,1.0,WTI - CQA,MLLM
